crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,SalePrice,Tax_per_Room,Lower_Income_Impact,Distance_Index
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0,45.01901140684411,32.743500000000004,0.19646365422396858
0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6,37.68883351502881,58.687940000000005,0.16758559434231032
0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,34.7,33.6812804453723,28.95555,0.16758559434231032
0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,33.4,31.723349528436696,20.57412,0.14159893517600747
0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,36.2,31.061984049251432,38.09351,0.14159893517600747
0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,28.7,34.52566096423017,33.500299999999996,0.14159893517600747
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43,22.9,51.72987358616101,74.72916,0.1524274064476793
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15,27.1,50.38885288399223,118.19379999999998,0.1438745413998993
0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5,311,15.2,386.63,29.93,16.5,55.22997691351447,168.53583,0.14120105618390028
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,18.9,51.798800799467024,102.6684,0.13171586254132583
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45,15.0,48.76901364277874,130.40965,0.13611553486599426
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,18.9,51.755699783657846,79.73943,0.13837574549932888
0.09378,12.5,7.87,0,0.524,5.889,39.0,5.4509,5,311,15.2,390.5,15.71,21.7,52.81032433350314,92.51619000000001,0.1550171293927979
0.62976,0.0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21.0,396.9,8.26,20.4,51.605311817112124,49.13874,0.17520805957074026
0.63796,0.0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21.0,380.02,10.26,18.2,50.36089238845144,62.544959999999996,0.18308647174060308
0.62739,0.0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21.0,395.62,8.47,19.9,52.62255742200892,49.41398,0.18186447459353292
1.05393,0.0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21.0,386.85,6.58,23.1,51.72704296545914,39.052299999999995,0.18186447459353292
0.7842,0.0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21.0,386.75,14.67,17.5,51.25208681135225,87.8733,0.19018999980981
0.80271,0.0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21.0,288.99,11.69,20.2,56.2683284457478,63.780640000000005,0.20848535390388825
0.7258,0.0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21.0,390.95,11.28,18.2,53.6057272568535,64.60056,0.20848535390388825
